"vdova", "widow"
"vdovec", "widower"
"líbánky", "honeymoon"
"předek", "ancestor"
"dvojčata", "twins"
"být zasnoubený", "be engaged (to)"
"nevěsta", "bride"
"ženich", "groom"
"nevlastní otec", "stepfather"
"nevlastní matka", "stepmother"
"snoubenec", "fioncé"
"snoubenka", "fioncée"
"být příbuzný", "be related (to)"
"zdědit něco po někom", "inherit something from somebody"
"závěť / poslední vůle", "last will"
"prababička", "great-grandmother"
"pradědeček", "great-grandfather"
"sirotek", "orphan"
"mít nehodu", "have an accident"
"způsobit nehodu", "cause an accident"
"řidičský průkaz", "driving license"
"chodník", "sidewalk"
"čerpací stanice", "gas station"
"překročit povolenou rychlost", "break the speed limit"
"předjíždět", "overtake"
"kruhový objezd", "roundabout"
"křižovatka", "crossroads"
"dostat pokutu", "get a fine"
"dopravní zácpa", "traffic jam"
"svést někoho", "give somebody a lift"
"dovést někoho někam", "drive somebody to somewhere"
"vyzvednout někoho", "pick somebody up (from)"
"vyčerpat", "run out (of)"
"dát si cigaretu", "have a cigarette"
"mít oslavu", "have a party"
"mít schůzku", "have a meeting / an appointment"
"mít lekci / hodinu", "have a lesson"
"promluvit si (na vážno)", "have a word (with)"
"popovídat si", "have a chat"
"podívat se / zkontrolovat", "have a look (at)"
"odpočinout si", "have a rest"
"zdřímnout si", "have a nap"
"mít se dobře", "have a nice time"
"bavit se", "have fun"
"hádat se", "have an argument (with)"
"odložit", "put off"
"pokárat", "tell off"
"zbavit se (někoho / něčeho)", "get rid of"
"vymyslet", "think up"
"zrušit / odvolat", "call off"
"zklamat", "let down"
"obejít se (bez někoho / něčeho)", "do without"
"doporučit něco někomu", "recommend something to somebody"
"stěžovat si na někoho", "complain to somebody"
"stěžovat si na něco", "complain about something"
"perlivá voda", "sparkling water"
"neperlivá voda", "still water"
"na účet podniku", "on the house"
"mít kocovinu", "have a hangover"
"útulný", "cosy"
"syrový", "raw"
"hořký", "bitter"
"kyselý", "sour"
"panák", "shot (of)"
"připít si", "drink a toast to"
"střízlivý", "sober"
"podnapilý", "tipsy"
"zamilovat se", "fall in love (with)"
"být zamilovaný", "be in love (with)"
"vdát se / oženit se", "get married (to)"
"být pro někoho důležitý", "mean a lot to somebody"
"podvádět někoho", "cheat on somebody"
"rozejít se", "break up (with)"
"záležet na někom", "care (about)"
